,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
20,FC,2023-04-11,88.9,-0.52,6.9,"Flexen, Chris",641355,623167,,ball,,,,,2,Cody Bellinger singles on a ground ball to right fielder Teoscar Hernandez.,R,L,R,CHC,SEA,B,,,1,0,2023,0.63,0.89,-0.15,3.68,,,,1,3,Bot,,,,,663728,,,-0.4135027250947611,-129.62895576539412,-3.825513083411383,7.221728162260991,24.365897140446062,-21.48374585789229,3.7,1.72,,,,89.6,2389,6.4,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.12,,,,,,,,35,2,Cutter,3,7,3,7,7,3,3,7,Standard,Standard,167,0.0,0.036
21,CH,2023-04-11,82.1,-0.48,6.58,"Flexen, Chris",641355,623167,,ball,,,,,13,Cody Bellinger singles on a ground ball to right fielder Teoscar Hernandez.,R,L,R,CHC,SEA,B,,,0,0,2023,-1.08,0.95,-0.33,0.63,,,,1,3,Bot,,,,,663728,,,2.442421396733551,-119.35238601300368,-8.803175588701444,-10.830597891459457,22.070757661206716,-21.63869291201254,3.7,1.74,,,,82.4,1425,6.4,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.05,,,,,,,,35,1,Changeup,3,7,3,7,7,3,3,7,Standard,Standard,215,0.0,0.036
22,FF,2023-04-11,91.0,-0.28,6.93,"Flexen, Chris",641820,623167,home_run,hit_into_play,,,,,3,Trey Mancini homers (1) on a fly ball to center field.   Dansby Swanson scores.,R,R,R,CHC,SEA,X,,fly_ball,0,2,2023,0.08,1.52,0.81,3.66,,,621020.0,1,3,Bot,145.79,30.7,,,663728,,,2.570341950472527,-132.5063442241914,-5.577841752612468,0.382701677642635,28.224958869297573,-13.247905821075149,3.62,1.67,419.0,102.7,25.0,91.1,2038,6.3,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.22,0.794,1.443,2.0,1.0,0.0,3.0,6.0,34,3,4-Seam Fastball,1,7,1,7,7,3,3,7,Standard,Standard,192,0.069,1.821
23,FC,2023-04-11,88.0,-0.27,6.83,"Flexen, Chris",641820,623167,,swinging_strike,,,,,14,Trey Mancini homers (1) on a fly ball to center field.   Dansby Swanson scores.,R,R,R,CHC,SEA,S,,,0,1,2023,0.58,0.73,0.14,1.14,,,621020.0,1,3,Bot,,,,,663728,,,-0.2116751568185924,-128.0404443163916,-9.268520242233334,6.46738273528494,23.66039050051302,-22.546763397967094,3.62,1.67,,,,88.3,2249,6.3,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.25,,,,,,,,34,2,Cutter,1,7,1,7,7,1,1,7,Standard,Standard,176,0.0,-0.059
24,CH,2023-04-11,79.8,-0.44,6.68,"Flexen, Chris",641820,623167,,called_strike,,,,,5,Trey Mancini homers (1) on a fly ball to center field.   Dansby Swanson scores.,R,R,R,CHC,SEA,S,,,0,0,2023,-1.11,0.67,0.24,2.67,,,621020.0,1,3,Bot,,,,,663728,,,3.574963765338863,-116.1926574354734,-3.374311426371177,-10.73867379944243,20.361152031274298,-25.70445384882876,3.62,1.61,,,,79.6,1341,6.0,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.54,,,,,,,,34,1,Changeup,1,7,1,7,7,1,1,7,Standard,Standard,220,0.0,-0.053
25,CH,2023-04-11,78.6,-0.53,6.68,"Flexen, Chris",664023,623167,field_out,hit_into_play,,,,,2,Ian Happ pops out to third baseman Eugenio Suarez.,R,L,R,CHC,SEA,X,5.0,popup,0,2,2023,-0.88,0.69,-0.18,3.26,,,621020.0,0,3,Bot,85.35,154.45,,,663728,,,2.371615641228708,-114.52558750868418,-1.9221652873515247,-8.169201530857055,19.469528546947444,-25.91352471800347,3.44,1.6,140.0,82.8,69.0,78.3,1254,5.8,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.71,0.003,0.004,0.0,1.0,0.0,0.0,3.0,33,3,Changeup,1,7,1,7,7,1,1,7,Standard,Standard,229,-0.017,-0.235
26,FF,2023-04-11,91.0,-0.44,6.81,"Flexen, Chris",664023,623167,,called_strike,,,,,7,Ian Happ pops out to third baseman Eugenio Suarez.,R,L,R,CHC,SEA,S,,,0,1,2023,-0.13,1.49,-0.36,2.04,,,621020.0,0,3,Bot,,,,,663728,,,0.4858159272813298,-132.320982051868,-9.294592485492224,-1.6847304725734829,27.21959776862985,-12.910808189471464,3.61,1.7,,,,91.3,2022,6.4,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.07,,,,,,,,33,2,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,196,0.0,-0.049
27,FC,2023-04-11,87.0,-0.58,6.85,"Flexen, Chris",664023,623167,,foul,,,,,2,Ian Happ pops out to third baseman Eugenio Suarez.,R,L,R,CHC,SEA,S,,,0,0,2023,0.6,0.57,0.03,3.07,,,621020.0,0,3,Bot,,,,,663728,,,0.2298264530758087,-126.80255288083757,-4.12979009623537,6.473494139075107,24.06502806281835,-25.40971300757581,3.44,1.6,248.0,82.5,49.0,87.4,2323,6.3,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.19,,,,,,,,33,1,Cutter,1,7,1,7,7,1,1,7,Standard,Standard,163,0.0,-0.057
28,FF,2023-04-11,91.6,-0.25,6.97,"Flexen, Chris",621020,623167,single,hit_into_play,,,,,12,Dansby Swanson singles on a line drive to right fielder Teoscar Hernandez.,R,R,R,CHC,SEA,X,9.0,line_drive,0,0,2023,-0.1,1.4,0.98,2.94,,,,0,3,Bot,169.95,107.82,,,663728,,,3.3032496680132537,-133.26443404646926,-7.288959993614978,-1.8991996074844104,28.05192747305675,-14.121238837015056,3.41,1.6,164.0,84.6,12.0,91.2,2004,6.0,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.51,0.646,0.591,0.9,1.0,1.0,0.0,4.0,32,1,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,197,0.018,0.386
29,FF,2023-04-11,92.8,-0.29,6.96,"Flexen, Chris",663538,623167,field_out,hit_into_play,,,,,12,"Nico Hoerner grounds out, second baseman Kolten Wong to first baseman Ty France.",R,R,R,CHC,SEA,X,4.0,ground_ball,1,2,2023,-0.15,1.48,0.93,3.28,,543228.0,676369.0,2,2,Bot,150.16,154.45,,,663728,,,3.434517789803001,-134.99948535737747,-6.859443809220239,-2.5614416842873804,27.994086801381243,-12.747038178121157,3.12,1.51,37.0,98.9,-3.0,92.8,2176,6.2,718617,623167,663728,664034,543939,553993,641487,672284,677594,606192,54.3,0.32,0.308,0.0,1.0,0.0,0.0,2.0,27,4,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,195,-0.019,-0.324
